"id","name","city","region","country","latitude","longitude","ranking","ranking_out_of","rating","num_reviews","photo_count","amenities_count","brand","awards_count","price_level"
19113231,"Park Regis Business Bay Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.185343,55.261734,111,982,5.0,750,324,121,"Park Regis",2,"$$"
19175168,"C Central Resort The Palm","Dubai","Emirate of Dubai","United Arab Emirates",25.13921,55.141476,181,982,4.5,2226,1467,168,"Central Hotels",0,"$$$"
19201630,"Emen’s Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.423042,27.14043,23,218,4.5,53,57,18,"",1,"$"
19206642,"Paramount Hotel Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.186457,55.291973,282,982,4.5,852,965,140,"Paramount",2,"$$$"
19236109,"Radisson Blu Hotel, Dubai Canal View","Dubai","Emirate of Dubai","United Arab Emirates",25.19111,55.290558,302,982,4.5,472,436,120,"",2,"$$$"
19253952,"Avani Ibn Battuta Dubai Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.045734,55.118225,274,982,4.5,1035,660,107,"Avani Hotels & Resorts",1,"$$"
19258258,"Millennium Place Barsha Heights Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.092148,55.176323,279,982,4.5,2367,934,4,"Millennium",1,"$$"
19306961,"Millennium Executive Apartments Mont Rose","Dubai","Emirate of Dubai","United Arab Emirates",25.074787,55.242126,13,766,5.0,216,72,32,"Millennium",2,"$$"
1930969,"IL Mercato Hotel & Spa","Sharm El Sheikh","Red Sea and Sinai","Egypt",27.863503,34.30743,81,279,4.5,1718,3125,172,"",0,"$"
1931533,"Hotel Bagues","Barcelona","Catalonia","Spain",41.382896,2.171704,69,553,4.5,1206,574,48,"Derby Hotels Collection",1,"$$$"
1935307,"Ramee Rose Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.098192,55.179577,380,982,4.0,623,206,104,"",1,"$$"
1936989,"Park Regis Kris Kin Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.249163,55.301388,362,982,4.5,2871,1442,95,"Park Regis",2,"$$"
1940950,"Hotel Ohla Barcelona","Barcelona","Catalonia","Spain",41.387024,2.174289,10,553,4.5,2556,1611,111,"Independently Owned Property",2,"$$$$"
1942264,"Kaya Izmir Thermal & Convention","Narlidere","Turkish Aegean Coast","Turkiye",38.38652,27.032108,1,3,4.5,1462,618,57,"",2,"$$"
1943693,"Grand Ocakoglu Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.449284,27.183586,147,218,3.0,87,80,13,"",0,"$"
19455405,"Lavender Hotel And Hotel Apartments","Dubai","Emirate of Dubai","United Arab Emirates",25.291956,55.365513,529,982,4.5,11,47,99,"",0,"$$"
1945968,"The Ritz-Carlton, Dubai International Financial Centre","Dubai","Emirate of Dubai","United Arab Emirates",25.213243,55.27926,30,982,5.0,3478,1510,116,"The Ritz-Carlton",0,"$$$$"
1948832,"Casa Gracia","Barcelona","Catalonia","Spain",41.397175,2.159252,108,1202,4.0,1924,1036,31,"",0,"$$"
19493242,"Taj Jumeirah Lakes Towers","Dubai","Emirate of Dubai","United Arab Emirates",25.080585,55.15426,91,982,5.0,1601,1287,127,"Taj",1,"$$$"
1949597,"Jumeirah Zabeel Saray","Dubai","Emirate of Dubai","United Arab Emirates",25.098427,55.12346,299,982,4.5,9451,9290,140,"Jumeirah",2,"$$$$"
19516549,"Vida Downtown","Dubai","Emirate of Dubai","United Arab Emirates",25.19001,55.274513,30,766,5.0,54,36,54,"",0,"$$$$"
19545257,"Atlas Oteli","Izmir","Turkish Aegean Coast","Turkiye",38.42464,27.137934,1,194,4.5,69,89,34,"",0,"$$"
1961531,"Two Seasons Hotel & Apartments","Dubai","Emirate of Dubai","United Arab Emirates",25.103117,55.172005,315,982,4.5,1505,924,73,"",1,"$$"
19636607,"Sonder at JBR The Walk","Dubai","Emirate of Dubai","United Arab Emirates",25.079905,55.135616,17,766,4.5,353,336,60,"Sonder",2,"$$$$"
19650536,"Premier Inn Dubai Dragon Mart Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.174845,55.41682,220,982,5.0,681,166,100,"Premier Inn",0,"$"
1966408,"Mini Fuar Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.425335,27.149492,7,136,4.0,114,67,43,"",0,"$"
19738088,"Lemon Tree Hotel, Jumeirah Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.133722,55.199432,167,982,5.0,365,298,51,"Lemon Tree",2,"$$"
19739438,"Radisson Red Dubai Silicon Oasis","Dubai","Emirate of Dubai","United Arab Emirates",25.118946,55.380024,57,982,5.0,1303,457,64,"Radisson Red",0,"$$"
19770277,"ibis Styles Dubai Airport","Dubai","Emirate of Dubai","United Arab Emirates",25.25035,55.344444,351,982,4.5,372,286,64,"ibis Styles",1,"$$"
19779896,"Naama Bay Promenade Beach Resort","Sharm El Sheikh","Red Sea and Sinai","Egypt",27.91464,34.3285,111,279,4.0,734,943,77,"Accor Live Limitless (ALL)",0,"$"
1989060,"Grums Hotel & Spa","Barcelona","Catalonia","Spain",41.37287,2.171946,203,553,4.0,1451,515,48,"",1,"$$"
19893051,"The Manor Hotel by JA","Dubai","Emirate of Dubai","United Arab Emirates",25.018518,55.142223,298,982,4.5,341,232,39,"",1,"$$"
1990762,"Voco Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.224533,55.283134,311,982,4.5,5060,3781,136,"Voco Hotels",0,"$$$"
19989371,"One Lux Stay - Full Marina & Pool View","Dubai","Emirate of Dubai","United Arab Emirates",25.087425,55.146473,73,766,5.0,9,46,80,"",0,"$$$"
20028939,"Holiday Inn Dubai Al-Maktoum Airport, an IHG hotel","Dubai","Emirate of Dubai","United Arab Emirates",24.867935,55.145676,176,982,4.5,652,215,128,"Holiday Inn",0,"$$"
20028959,"Staybridge Suites Dubai Al-Maktoum Airport, an IHG hotel","Dubai","Emirate of Dubai","United Arab Emirates",24.868284,55.14594,98,982,5.0,506,188,111,"InterContinental",2,"$$"
20059330,"ME Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.189203,55.266724,94,982,5.0,611,684,82,"ME by Melia",1,"$$$$"
20063385,"En Hotel Izmir","Izmir","Turkish Aegean Coast","Turkiye",38.427723,27.133644,42,218,4.5,18,34,13,"",0,"$$"
20104760,"Citymax Hotel Business Bay","Dubai","Emirate of Dubai","United Arab Emirates",25.17962,55.27737,249,982,4.5,733,212,106,"",2,"$$"
20111742,"Sonder Casa Luz","Barcelona","Catalonia","Spain",41.38597,2.164731,20,1202,4.5,224,146,47,"Sonder",1,"$$"
2017781,"Atrium Platinum Luxury Resort Hotel & Spa","Rhodes Town","South Aegean","Dodecanese",36.42732,28.20112,1,122,5.0,5050,5091,91,"Atrium Hotels & Resorts",3,"$$$"
2026811,"Howard Johnson by Wyndham Bur Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.260098,55.285393,397,982,3.5,662,301,38,"Howard Johnson",0,"$"
20283099,"Caba Hotel & Spa","Izmir","Turkish Aegean Coast","Turkiye",38.37427,27.16527,84,218,3.5,8,0,0,"",0,"$$"
20302817,"Rudis Deluxe Hotel","Narlidere","Turkish Aegean Coast","Turkiye",38.38264,26.93207,2,3,4.5,3,0,0,"",0,"$"
20317535,"Hotel Riu Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.301422,55.305458,265,982,4.5,1894,2529,78,"RIU Hotels & Resorts",2,"$$$$"
20318849,"Landmark Premier Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.262281,55.320232,472,982,4.0,48,96,48,"",0,"$$"
20326652,"Centara Mirage Beach Resort Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.300508,55.303596,237,982,4.5,3619,3800,160,"Centara Hotel & Resort",3,"$$$"
20329156,"Methis Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.63,26.91822,47,136,5.0,1,1,0,"",0,"$$"
20355850,"Grand Cosmopolitan Hotel - Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.113358,55.192944,17,982,5.0,1069,1335,124,"",1,"$$"
2038722,"Millennium Central Downtown","Dubai","Emirate of Dubai","United Arab Emirates",25.193995,55.289303,368,982,4.0,2182,849,58,"Millennium",1,"$$"
20404820,"Lazz By Ketenci Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.424828,27.148758,101,218,5.0,1,1,0,"",0,"$"
20481554,"Th8 Palm Dubai Beach Resort, Vignette Collection","Dubai","Emirate of Dubai","United Arab Emirates",25.117588,55.109463,73,982,5.0,1438,2312,71,"",2,"$$$$"
206920,"NH Collection Barcelona Podium","Barcelona","Catalonia","Spain",41.391624,2.177928,106,553,4.5,1379,645,66,"NH Collection",2,"$$"
206921,"NH Collection Barcelona Gran Hotel Calderon","Barcelona","Catalonia","Spain",41.389397,2.166138,151,553,4.5,1513,936,58,"NH Collection",2,"$$$"
206928,"Citadines Ramblas Barcelona","Barcelona","Catalonia","Spain",41.383854,2.171473,201,553,4.0,1397,660,43,"Citadines Apart hotel",1,"$$"
206933,"Hotel Derby","Barcelona","Catalonia","Spain",41.389847,2.14199,214,553,4.0,995,311,34,"Derby Hotels Collection",1,"$$"
206936,"El Avenida Palace","Barcelona","Catalonia","Spain",41.389065,2.167363,85,553,4.0,3431,1047,70,"",2,"$$"
2082869,"Grand Central Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.263783,55.326782,507,982,3.5,320,187,35,"",0,"$"
208591,"Hotel Lloret Rambles Barcelona","Barcelona","Catalonia","Spain",41.384747,2.170317,290,553,4.0,1450,687,26,"",0,"$$"
208592,"Hotel Espana Ramblas","Barcelona","Catalonia","Spain",41.379936,2.172904,148,553,4.5,1940,1219,53,"Preferred Hotels & Resorts",2,"$$"
208593,"Hotel California","Barcelona","Catalonia","Spain",41.380955,2.175319,291,553,4.0,803,288,45,"",0,"$$"
208595,"Hotel Cortes Rambla","Barcelona","Catalonia","Spain",41.385494,2.17166,308,553,4.0,665,230,19,"",0,"$$"
208596,"Hotel Granvia","Barcelona","Catalonia","Spain",41.389973,2.169574,49,553,4.5,2070,1046,38,"",2,"$$"
20881153,"Raval House","Barcelona","Catalonia","Spain",41.37999,2.16899,390,553,4.0,41,46,16,"",0,"$$"
2092499,"Golden Tulip Media Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.0985,55.1792,388,982,4.0,266,375,77,"Golden Tulip",1,"$$"
2098794,"Met Boutique Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.423916,27.140697,16,218,4.5,224,118,40,"",0,"$"
21058991,"Sleep 'n fly at Dubai International Airport D-Gates /Terminal 1","Dubai","Emirate of Dubai","United Arab Emirates",25.257507,55.344166,1,140,4.5,66,32,3,"",0,"$"
21091568,"Edge Creekside Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.258936,55.322205,205,982,5.0,281,184,84,"",1,"$$"
21093463,"Rose Plaza Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.114523,55.202564,457,982,4.5,41,115,51,"",0,"$$"
21101510,"Urban Al Khoory Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.161325,55.25004,123,982,5.0,356,220,57,"",2,"$$"
21101938,"Grand Mercure Dubai City","Dubai","Emirate of Dubai","United Arab Emirates",25.250881,55.343708,378,982,4.5,387,476,78,"Accor Live Limitless (ALL)",1,"$$"
21121518,"Legoland Hotel Dubai","Dubai","Emirate of Dubai","United Arab Emirates",24.918804,55.01003,306,982,4.5,504,662,52,"",1,"$$$"
21181631,"Al Marsa","Dubai","Emirate of Dubai","United Arab Emirates",25.070354,55.13464,189,766,3.5,2,13,0,"",0,"$"
21186198,"Beach Walk Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.17389,55.21862,447,982,4.5,39,68,86,"",0,"$$$"
21191933,"Jumeirah Living Marina Gate","Dubai","Emirate of Dubai","United Arab Emirates",25.087448,55.14658,401,982,4.5,108,180,116,"Jumeirah",2,"$$$$"
21196861,"Sigacik Olive Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.19468,26.78696,92,218,4.0,2,0,0,"",0,"$"
21203432,"Fortune Atrium Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.250029,55.311886,487,982,4.5,18,36,70,"",0,"$$"
21246143,"Royal Continental Suites Business Bay - Deluxe Apartments","Dubai","Emirate of Dubai","United Arab Emirates",25.18344,55.28356,6,766,5.0,123,68,32,"",1,"$$"
21275006,"Al Jaddaf Rotana Suite Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.220955,55.32929,92,982,5.0,734,402,122,"Rotana",2,"$$$"
21321279,"Sofitel Dubai the Obelisk","Dubai","Emirate of Dubai","United Arab Emirates",25.231062,55.31865,31,982,5.0,2523,2304,154,"Sofitel",1,"$$$$"
21327450,"Ofuro World Hotel Spa","Gaziemir","Turkish Aegean Coast","Turkiye",38.30797,27.15708,1,3,5.0,3,1,10,"",0,"$"
21362659,"Super 8 by Wyndham Dubai Deira","Dubai","Emirate of Dubai","United Arab Emirates",25.273167,55.29854,160,982,4.5,328,156,41,"",2,"$$"
21366805,"Element Al Jaddaf, Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.220015,55.332417,3,766,5.0,505,491,91,"Element",2,"$$"
2138047,"Zagy Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.27137,55.310425,651,982,3.0,17,6,35,"",0,"$$"
21392300,"Aparthotel Adagio Dubai Deira","Dubai","Emirate of Dubai","United Arab Emirates",25.277262,55.303352,103,982,5.0,624,298,100,"Adagio",1,"$$"
21410295,"Address Beach Resort","Dubai","Emirate of Dubai","United Arab Emirates",25.072584,55.126568,85,982,5.0,2469,2767,157,"Address Hotels + Resorts",1,"$$$$"
21501240,"DoubleTree by Hilton Dubai M square Hotel & Residences","Dubai","Emirate of Dubai","United Arab Emirates",25.250679,55.300755,142,982,4.5,1127,1008,145,"DoubleTree by Hilton",2,"$$"
21504483,"Leonardo Royal Hotel Barcelona Fira","Barcelona","Catalonia","Spain",41.357117,2.13752,369,553,4.0,57,95,16,"Leonardo",0,"$$"
21511241,"Avani+ Palm View Dubai Hotel & Suites","Dubai","Emirate of Dubai","United Arab Emirates",25.098036,55.157055,22,982,5.0,1088,988,111,"Avani Hotels & Resorts",2,"$$$"
2160043,"Orty Airport Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.29614,27.144014,22,218,4.0,355,112,57,"",0,"$"
2222787,"Asiana Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.269749,55.325073,427,982,4.0,363,362,43,"",0,"$$"
227369,"Best Western Plus Hotel Plaza","Rhodes Town","South Aegean","Dodecanese",36.450703,28.222511,27,122,4.0,1062,473,101,"Best Western Plus",2,"$$"
227464,"Hotel Regina Barcelona","Barcelona","Catalonia","Spain",41.38591,2.168043,298,553,4.5,100,329,63,"",2,"$$"
227467,"Best Western Plus Hotel Alfa Aeropuerto","Barcelona","Catalonia","Spain",41.328564,2.112894,190,553,4.0,1499,414,52,"Best Western Plus",2,"$$"
2277324,"Circa 1905 b&b","Barcelona","Catalonia","Spain",41.394173,2.160921,3,366,5.0,344,204,46,"",0,"$$$"
2281355,"Marina Byblos Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.070988,55.135117,421,982,4.0,1578,665,99,"",0,"$$$"
22834393,"Ulusoy","Izmir","Turkish Aegean Coast","Turkiye",38.390636,27.185917,54,136,4.0,1,0,0,"",0,"$"
228464,"Alimara Barcelona Hotel","Barcelona","Catalonia","Spain",41.434025,2.147445,335,553,4.0,1078,467,40,"",0,"$"
228465,"Gallery Hotel","Barcelona","Catalonia","Spain",41.395077,2.159359,15,553,4.5,2618,851,76,"",2,"$$"
228466,"InterContinental Barcelona, an IHG Hotel","Barcelona","Catalonia","Spain",41.372772,2.155079,86,553,4.5,1879,1236,103,"InterContinental",1,"$$$"
228507,"Barceló Sants","Barcelona","Catalonia","Spain",41.379135,2.139603,132,553,4.5,5487,1944,53,"Barcelo Hotels & Resorts",2,"$$"
228527,"Catalonia Portal de l'Angel","Barcelona","Catalonia","Spain",41.385532,2.172984,84,553,4.5,1749,645,54,"Catalonia",2,"$$"
2285405,"The Makadi Spa Hotel","Makadi Bay","Red Sea and Sinai","Egypt",27.000454,33.9093,2,37,4.5,4821,8267,113,"Red Sea Hotels",2,"$$$"
228544,"Catalonia Sagrada Familia","Barcelona","Catalonia","Spain",41.40774,2.185135,314,553,4.0,1928,493,43,"Catalonia",1,"$$"
228553,"Catalonia Gracia","Barcelona","Catalonia","Spain",41.398754,2.162368,171,553,4.0,833,285,43,"Catalonia",1,"$$"
228590,"Hotel Astoria","Barcelona","Catalonia","Spain",41.393997,2.153488,97,553,4.5,1820,490,57,"Derby Hotels Collection",2,"$$"
228592,"Apartamentos Hesperia Sant Joan","Barcelona","Catalonia","Spain",41.373234,2.070631,301,553,4.0,1037,348,47,"Hesperia",0,"$"
228621,"Hotel Front Maritim","Barcelona","Catalonia","Spain",41.403824,2.213772,356,553,3.5,1272,619,46,"Best Hotels",0,"$$"
228626,"Abba Sants Hotel","Barcelona","Catalonia","Spain",41.38251,2.140179,333,553,4.0,805,339,46,"",0,"$$"
228634,"Royal Ramblas Hotel","Barcelona","Catalonia","Spain",41.384274,2.170475,176,553,4.0,2611,856,43,"",2,"$$"
228642,"Catalonia Plaza Catalunya","Barcelona","Catalonia","Spain",41.38627,2.168141,172,553,4.0,1998,722,58,"Catalonia",2,"$$"
228648,"Alexandra Barcelona Hotel, Curio Collection by Hilton","Barcelona","Catalonia","Spain",41.39317,2.161429,54,553,4.5,3039,1024,84,"Curio Collection by Hilton",2,"$$$"
22938796,"Wyndham Dubai Deira","Dubai","Emirate of Dubai","United Arab Emirates",25.27712,55.300922,253,982,4.5,989,571,118,"Wyndham",2,"$$"
229676,"Catalonia Barcelona Plaza","Barcelona","Catalonia","Spain",41.375496,2.148495,207,553,4.0,3819,2035,79,"Catalonia",2,"$$"
229677,"Hotel Condes De Barcelona","Barcelona","Catalonia","Spain",41.39355,2.1627,161,553,4.0,1985,832,47,"",2,"$$$"
2297869,"Hakcan Otel","Izmir","Turkish Aegean Coast","Turkiye",38.327164,27.135942,68,218,4.0,19,57,51,"",0,"$"
229999,"Best Western Premier Hotel Dante","Barcelona","Catalonia","Spain",41.38943,2.156508,73,553,4.5,1653,367,54,"Best Western",2,"$$"
23009209,"Jaz Sharks Bay","Sharm El Sheikh","Red Sea and Sinai","Egypt",27.965862,34.403446,97,279,4.5,233,369,37,"Jaz Hotel Group",1,"$"
23025516,"Rove La Mer Beach","Dubai","Emirate of Dubai","United Arab Emirates",25.228554,55.25823,201,982,4.5,1263,1019,38,"Rove Hotels",2,"$$$"
23025546,"Time Onyx Hotel Apartments","Dubai","Emirate of Dubai","United Arab Emirates",25.263662,55.39157,428,982,4.5,58,133,14,"",1,"$$"
2303586,"Xperience Sea Breeze Resort","Sharm El Sheikh","Red Sea and Sinai","Egypt",27.945848,34.383564,46,279,4.5,10878,11189,78,"",1,"$"
23039005,"Sleep 'N fly At Dubai International Airport C-Gates Terminal 3","Dubai","Emirate of Dubai","United Arab Emirates",25.25116,55.35726,25,766,4.5,114,47,7,"",1,"$$$$"
2304847,"Sensation Sagrada Familia","Barcelona","Catalonia","Spain",41.404522,2.172418,7,1202,4.5,1055,348,83,"",2,"$$$"
2305094,"Grand Excelsior Hotel Al Barsha","Dubai","Emirate of Dubai","United Arab Emirates",25.111656,55.20318,419,982,3.5,835,577,39,"Preferred Hotels & Resorts",0,"$$"
2306200,"Key Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.423748,27.13129,4,218,5.0,529,358,43,"",0,"$$"
23063829,"Rebetiko Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.28872,26.377834,105,218,5.0,1,0,14,"",0,"$"
230643,"Hotel Barcelona Universal","Barcelona","Catalonia","Spain",41.37516,2.168423,136,553,4.5,5688,2002,59,"",2,"$$"
23140682,"Nyx Hotel","Guzelbahce","Turkish Aegean Coast","Turkiye",38.38056,26.910276,1,2,3.5,4,2,14,"",0,"$"
231502,"INNSiDE by Melia Barcelona Apolo","Barcelona","Catalonia","Spain",41.374752,2.170721,142,553,4.5,83,113,71,"INNSiDE by Melia",1,"$$"
231505,"Aparthotel Mariano Cubi","Barcelona","Catalonia","Spain",41.398193,2.149508,287,553,4.0,702,374,55,"",1,"$$"
231518,"Ibis Barcelona Meridiana","Barcelona","Catalonia","Spain",41.435448,2.181663,279,553,4.0,1465,316,35,"ibis",0,"$"
231520,"H10 Itaca Hotel","Barcelona","Catalonia","Spain",41.381077,2.145506,233,553,4.0,1575,527,36,"H10 Hotels",1,"$$"
231524,"Hotel Paral.lel","Barcelona","Catalonia","Spain",41.37481,2.166196,160,553,4.0,1822,599,25,"",2,"$"
231526,"Hotel Rialto","Barcelona","Catalonia","Spain",41.38194,2.176489,310,553,4.0,105,84,37,"",0,"$$"
23163507,"Parrotel Lagoon Waterpark Resort.","Nabq Bay","Red Sea and Sinai","Egypt",28.024504,34.428448,25,41,4.5,548,816,66,"",0,"$"
23169343,"SLS Dubai Hotel & Residences","Dubai","Emirate of Dubai","United Arab Emirates",25.184814,55.29216,238,982,4.5,1207,1126,123,"",1,"$$$$"
23176887,"Adagio Premium The Palm","Dubai","Emirate of Dubai","United Arab Emirates",25.108885,55.143093,460,982,5.0,535,571,124,"Adagio",0,"$$$"
23187796,"Rixos Premium Magawish Suites & Villas","Hurghada","Red Sea and Sinai","Egypt",27.143166,33.82744,9,325,5.0,1851,3325,148,"Rixos",0,"$$$$"
23189335,"Pullman Dubai Downtown","Dubai","Emirate of Dubai","United Arab Emirates",25.186865,55.271637,134,982,4.5,4448,2318,54,"Pullman",0,"$$$"
23203258,"Radisson Hotel Dubai Damac Hills","Dubai","Emirate of Dubai","United Arab Emirates",25.018974,55.246216,187,982,4.5,589,269,135,"Radisson",1,"$$"
23209473,"Revier Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.179333,55.27143,303,982,4.5,230,301,67,"Powered By Archipelago",1,"$$"
2322457,"Jumeirah Creekside Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.242682,55.340824,295,982,4.5,3746,2483,119,"Jumeirah",2,"$$$"
23258571,"Radisson Collection Hotel, Bodrum","Bodrum City","Turkish Aegean Coast","Turkiye",36.97902,27.312086,23,164,4.5,95,238,133,"Radisson Collection",1,"$$"
23265217,"Residence Inn By Marriott Sheikh Zayed Road","Dubai","Emirate of Dubai","United Arab Emirates",25.209627,55.274998,296,982,4.5,303,202,36,"Marriott",1,"$$$"
23274894,"The St. Regis Dubai, The Palm","Dubai","Emirate of Dubai","United Arab Emirates",25.11399,55.13996,200,982,5.0,498,609,118,"St. Regis",1,"$$$$"
232778,"Hotel Arc La Rambla","Barcelona","Catalonia","Spain",41.37673,2.176463,144,553,4.5,3651,803,47,"",2,"$$"
232781,"Hotel Europark","Barcelona","Catalonia","Spain",41.396236,2.170033,41,553,4.5,5597,1814,58,"",2,"$$"
232786,"Hotel Viladomat","Barcelona","Catalonia","Spain",41.383926,2.15162,372,553,3.5,885,263,43,"",0,"$"
232788,"Nouvel Hotel","Barcelona","Catalonia","Spain",41.385227,2.171657,260,553,4.0,1443,562,40,"",1,"$$"
232792,"Pol & Grace Hotel","Barcelona","Catalonia","Spain",41.401775,2.147743,105,553,4.5,1652,618,39,"",2,"$$"
23309064,"Old Town Point Hotel & Spa Antalya","Muratpasa","Turkish Mediterranean Coast","Turkiye",36.889935,30.695229,8,59,4.5,156,236,60,"",1,"$"
23326647,"Skylark Hotel Apartments","Dubai","Emirate of Dubai","United Arab Emirates",25.114355,55.19152,590,982,3.5,11,8,0,"",0,"$$"
